CustomerID,AccountAge,UsageFrequency,MonthlySpend,SupportCalls,Churn
CUST00001,39,15,293.07,3,No
CUST00002,52,2,355.23,3,No
CUST00003,29,13,452.65,3,No
CUST00004,15,17,147.81,3,No
CUST00005,43,28,96.09,3,No
CUST00006,8,20,167.63,1,No
CUST00007,21,10,309.39,3,No
CUST00008,39,15,246.44,0,No
CUST00009,58,17,339.42,1,No
CUST00010,19,8,228.38,1,No
CUST00011,23,2,329.08,1,No
CUST00012,11,24,53.46,2,No
CUST00013,11,26,222.67,3,No
CUST00014,24,1,326.37,4,No
CUST00015,53,23,152.73,1,No
CUST00016,36,23,168.28,3,Yes
CUST00017,40,5,19.93,3,No
CUST00018,24,3,395.48,0,Yes
CUST00019,3,22,247.93,2,No
CUST00020,22,11,91.62,0,Yes
CUST00021,53,16,318.85,3,No
CUST00022,2,21,68.53,1,No
CUST00023,24,9,237.83,0,No
CUST00024,44,4,76.01,2,No
CUST00025,30,9,341.55,2,No
CUST00026,38,14,102.68,3,No
CUST00027,2,10,477.37,4,No
CUST00028,21,22,304.8,1,No
CUST00029,33,16,20.85,0,No
CUST00030,12,9,215.7,3,No
CUST00031,58,3,88.63,3,No
CUST00032,22,28,306.55,7,No
CUST00033,44,29,384.95,3,Yes
CUST00034,25,1,161.14,2,No
CUST00035,49,28,341.02,1,No
CUST00036,27,22,436.91,1,Yes
CUST00037,59,20,453.6,1,No
CUST00038,42,11,70.22,2,No
CUST00039,28,26,183.98,0,No
CUST00040,16,20,143.77,2,No
CUST00041,15,20,289.59,3,No
CUST00042,47,1,409.9,0,No
CUST00043,51,5,325.52,3,No
CUST00044,44,9,491.68,1,No
CUST00045,55,3,29.36,0,No
CUST00046,52,12,107.53,1,No
CUST00047,57,18,427.17,3,Yes
CUST00048,3,28,202.41,3,No
CUST00049,37,2,391.6,2,No
CUST00050,51,10,486.12,1,No
CUST00051,7,7,299.21,2,Yes
CUST00052,21,22,336.33,0,No
CUST00053,9,18,198.4,0,No
CUST00054,39,16,450.61,5,No
CUST00055,18,13,338.46,5,No
CUST00056,4,1,305.94,1,No
CUST00057,25,7,23.54,2,No
CUST00058,14,11,252.36,1,No
CUST00059,50,6,497.6,1,No
CUST00060,58,21,230.12,3,Yes
CUST00061,9,5,478.94,5,No
CUST00062,26,10,490.9,1,No
CUST00063,53,29,326.73,1,No
CUST00064,2,3,157.05,2,No
CUST00065,20,27,105.78,2,No
CUST00066,28,15,277.6,3,No
CUST00067,47,12,61.43,5,No
CUST00068,7,5,257.96,2,No
CUST00069,44,14,332.28,2,No
CUST00070,8,12,225.11,2,No
CUST00071,47,22,83.72,2,No
CUST00072,35,11,404.71,4,No
CUST00073,14,23,275.15,1,No
CUST00074,17,23,142.48,0,No
CUST00075,36,13,17.69,0,No
CUST00076,50,10,276.65,2,No
CUST00077,40,10,385.94,3,Yes
CUST00078,4,24,188.32,3,No
CUST00079,2,21,333.9,1,Yes
CUST00080,6,14,399.88,2,No
CUST00081,54,20,240.16,1,Yes
CUST00082,42,16,142.38,1,No
CUST00083,4,12,212.76,0,No
CUST00084,54,23,383.0,2,No
CUST00085,29,18,117.02,0,Yes
CUST00086,18,24,135.04,1,Yes
CUST00087,26,4,186.27,1,Yes
CUST00088,44,10,317.49,1,No
CUST00089,34,1,127.98,1,No
CUST00090,10,18,252.55,0,No
CUST00091,36,15,321.17,1,Yes
CUST00092,14,17,265.66,3,No
CUST00093,31,21,13.3,1,No
CUST00094,48,1,255.1,3,Yes
CUST00095,15,27,184.31,2,No
CUST00096,8,14,32.46,1,No
CUST00097,14,12,458.44,4,No
CUST00098,23,25,328.22,1,No
CUST00099,57,27,457.55,1,No
CUST00100,40,11,159.69,1,Yes
CUST00101,21,20,462.82,7,No
CUST00102,16,26,226.31,5,No
CUST00103,45,19,168.43,2,No
CUST00104,18,25,422.39,0,No
CUST00105,47,4,31.44,2,No
CUST00106,53,17,368.51,0,No
CUST00107,24,18,433.57,1,No
CUST00108,26,4,436.95,1,No
CUST00109,25,27,25.56,1,No
CUST00110,45,1,442.0,4,No
CUST00111,41,6,360.48,1,No
CUST00112,29,7,424.29,1,No
CUST00113,15,1,337.02,3,No
CUST00114,45,6,377.02,1,No
CUST00115,1,3,312.59,0,No
CUST00116,25,23,240.67,1,No
CUST00117,7,16,465.04,2,No
CUST00118,9,27,64.13,0,No
CUST00119,24,2,41.24,0,No
CUST00120,1,2,336.06,2,No
CUST00121,44,11,340.06,0,No
CUST00122,8,20,422.53,3,No
CUST00123,24,11,327.79,2,No
CUST00124,11,8,52.92,2,No
CUST00125,51,19,440.89,0,No
CUST00126,17,24,58.57,2,No
CUST00127,8,23,230.22,0,No
CUST00128,35,21,318.39,3,No
CUST00129,35,15,319.86,2,No
CUST00130,33,28,229.57,1,Yes
CUST00131,59,20,171.95,2,No
CUST00132,5,14,157.56,7,No
CUST00133,42,26,487.0,3,No
CUST00134,39,26,176.63,2,Yes
CUST00135,58,18,294.82,0,No
CUST00136,41,25,293.59,2,No
CUST00137,28,20,289.72,2,No
CUST00138,7,5,314.4,1,No
CUST00139,9,2,138.6,6,No
CUST00140,8,2,175.91,2,Yes
CUST00141,12,2,44.53,1,No
CUST00142,34,26,289.8,2,No
CUST00143,33,2,127.06,3,Yes
CUST00144,48,9,94.0,1,No
CUST00145,55,29,418.36,1,No
CUST00146,23,12,295.13,1,No
CUST00147,24,21,283.57,3,No
CUST00148,37,27,86.44,1,No
CUST00149,35,22,227.95,0,No
CUST00150,44,20,282.04,2,Yes
CUST00151,40,18,224.62,1,No
CUST00152,22,3,271.59,0,No
CUST00153,27,19,17.29,2,No
CUST00154,35,16,107.78,2,No
CUST00155,1,11,116.26,4,No
CUST00156,35,27,195.28,3,No
CUST00157,37,26,470.97,2,No
CUST00158,47,24,275.19,1,Yes
CUST00159,14,24,135.62,1,Yes
CUST00160,3,15,361.18,2,Yes
CUST00161,1,22,117.22,2,No
CUST00162,5,11,87.23,3,No
CUST00163,26,29,155.97,6,No
CUST00164,55,10,153.46,5,No
CUST00165,14,27,216.45,0,No
CUST00166,39,24,360.02,4,No
CUST00167,27,19,293.68,6,No
CUST00168,9,23,251.33,4,No
CUST00169,15,5,474.76,0,No
CUST00170,15,14,25.81,4,No
CUST00171,26,9,207.96,1,No
CUST00172,42,25,345.59,2,No
CUST00173,13,21,167.01,2,No
CUST00174,51,6,242.96,1,No
CUST00175,32,1,24.74,1,No
CUST00176,39,28,109.59,4,No
CUST00177,49,12,49.97,1,No
CUST00178,52,14,485.61,1,No
CUST00179,32,4,374.75,1,No
CUST00180,4,15,330.14,4,Yes
CUST00181,30,17,11.04,4,No
CUST00182,37,20,238.59,6,No
CUST00183,23,12,356.96,2,Yes
CUST00184,39,1,308.06,4,Yes
CUST00185,45,13,262.06,4,No
CUST00186,15,10,416.38,2,No
CUST00187,43,4,174.26,3,No
CUST00188,29,6,421.06,1,No
CUST00189,36,9,200.26,2,No
CUST00190,13,18,294.51,6,No
CUST00191,32,2,264.72,5,No
CUST00192,7,6,211.15,0,No
CUST00193,59,11,140.55,0,No
CUST00194,51,26,229.67,1,No
CUST00195,22,28,69.44,3,No
CUST00196,28,13,178.63,2,Yes
CUST00197,2,6,294.08,5,Yes
CUST00198,42,12,40.24,1,No
CUST00199,45,19,374.34,0,No
CUST00200,57,18,288.05,3,No
CUST00201,53,19,482.85,3,No
CUST00202,6,28,54.54,3,No
CUST00203,28,12,121.09,2,No
CUST00204,28,20,273.68,0,No
CUST00205,44,13,247.66,3,No
CUST00206,44,20,254.21,1,No
